timestamp, index, name, memory.used [MiB], memory.free [MiB], utilization.gpu [%]
2026/08/10 16:09:43.204, 0, NVIDIA A100-PCIE-40GB, 0 MiB, 40339 MiB, 0 %
2026/08/10 16:09:43.207, 1, Tesla T4, 2 MiB, 14928 MiB, 0 %
2026/08/10 16:09:44.210, 0, NVIDIA A100-PCIE-40GB, 0 MiB, 40339 MiB, 0 %
2026/08/10 16:09:44.212, 1, Tesla T4, 2 MiB, 14928 MiB, 0 %
2026/08/10 16:09:45.214, 0, NVIDIA A100-PCIE-40GB, 0 MiB, 40339 MiB, 0 %
2026/08/10 16:09:45.216, 1, Tesla T4, 2 MiB, 14928 MiB, 0 %
2026/08/10 16:09:46.218, 0, NVIDIA A100-PCIE-40GB, 0 MiB, 40339 MiB, 0 %
2026/08/10 16:09:46.220, 1, Tesla T4, 2 MiB, 14928 MiB, 0 %
2026/08/10 16:09:47.222, 0, NVIDIA A100-PCIE-40GB, 0 MiB, 40339 MiB, 0 %
2026/08/10 16:09:47.224, 1, Tesla T4, 2 MiB, 14928 MiB, 0 %
2026/08/10 16:09:48.226, 0, NVIDIA A100-PCIE-40GB, 0 MiB, 40339 MiB, 0 %
2026/08/10 16:09:48.228, 1, Tesla T4, 2 MiB, 14928 MiB, 0 %
2026/08/10 16:09:49.230, 0, NVIDIA A100-PCIE-40GB, 0 MiB, 40339 MiB, 0 %
2026/08/10 16:09:49.232, 1, Tesla T4, 2 MiB, 14928 MiB, 0 %
2026/08/10 16:09:50.234, 0, NVIDIA A100-PCIE-40GB, 0 MiB, 40339 MiB, 0 %
2026/08/10 16:09:50.236, 1, Tesla T4, 2 MiB, 14928 MiB, 0 %
2026/08/10 16:09:51.238, 0, NVIDIA A100-PCIE-40GB, 3 MiB, 40335 MiB, 0 %
2026/08/10 16:09:51.240, 1, Tesla T4, 2 MiB, 14928 MiB, 0 %
2026/08/10 16:09:52.243, 0, NVIDIA A100-PCIE-40GB, 3 MiB, 40335 MiB, 0 %
2026/08/10 16:09:52.244, 1, Tesla T4, 2 MiB, 14928 MiB, 0 %
2026/08/10 16:09:53.247, 0, NVIDIA A100-PCIE-40GB, 3 MiB, 40335 MiB, 0 %
2026/08/10 16:09:53.249, 1, Tesla T4, 2 MiB, 14928 MiB, 0 %
2026/08/10 16:09:54.251, 0, NVIDIA A100-PCIE-40GB, 3 MiB, 40335 MiB, 0 %
2026/08/10 16:09:54.253, 1, Tesla T4, 2 MiB, 14928 MiB, 0 %
2026/08/10 16:09:55.255, 0, NVIDIA A100-PCIE-40GB, 3 MiB, 40335 MiB, 0 %
2026/08/10 16:09:55.257, 1, Tesla T4, 2 MiB, 14928 MiB, 0 %
2026/08/10 16:09:56.259, 0, NVIDIA A100-PCIE-40GB, 3 MiB, 40335 MiB, 0 %
2026/08/10 16:09:56.261, 1, Tesla T4, 2 MiB, 14928 MiB, 0 %
2026/08/10 16:09:57.263, 0, NVIDIA A100-PCIE-40GB, 3 MiB, 40335 MiB, 0 %
